AHARON IPALE
ALAN BATES

ALAN LADD


ALAN RICKMAN

ALBERT FINNEY


ALBERTO SORDI

ALDO MACCIONE

ALEX KARRAS

ALEX CORD

ALFRED MOLINA


AL FREEMAN JR
AL PACINO

ANDY GARCIA

ANTONIO BANDERAS

ANTHONY BATE

ANTHONY CARUSO

ANTHONY FRANCIOSA

ANTHONY PERKINS


ANTHONY QUINN

ANTHONY ZERBE

ARNOLDO FOA

ARNOLD SCHWARZENEGGER

AUDIE MURPHY

BARRY JACKSON

BARTON MACLANE

BASIL RATHBONE

BEN AFFLECK

BEN CROSS

BEN GAZZARA


BEN JOHNSON

BERNARD LEE
BILL MCKINNEY


BILL MURRAY
BILL PAXTON

BILL TARMEY

BILLY BOB THORTON

BING CROSBY

BRION JAMES

BOB ODENKIRK
BOB HOPE

BOB HOSKINS

BOOTH COLMAN

BORIS KARLOFF

BRADFORD DILLMAN

BRIAN COX

BRIAN DENNEHY

BRIAN KEITH

BRODERICK CRAWFORD

BRUCE DERN

BRUCE GORDON

BRUCE KIRBY

BRUCE LEE

BRUNO GANZ
BRYAN FORBES
BUD SPENCER

BURT KWOUK

BURT LANCASTER

BURT REYNOLDS

BUBBA SMITH
CARL REINER

CARY GRANT

CHADWICK BOSEMAN

CHARLES BRONSON
CHARLES CHAPLIN
CHARLES DANCE

CHARLES DURNING
CHARLES KORVIN
Charles Laughton

CHARLES NAPIER


CHARLTON HESTON

CHRISTOPHER LEE

CHRISTOPHER MAYER
CHRISTOPHER PLUMMER

CLANCY BROWN

CLARK GABLE

CLAUDE AKINS

CLAUDE LEVEILLEE

CLIFF ROBERTSON

CLINT EASTWOOD

CONRAD BAIN

CORNEL WILDE
CORY MONTEITH

CURD JURGENS
DALE ROBERTSON

DANA ANDREWS

DAN DURYEA

DAN FRAZER

DANIEL CRAIG



DANIEL VON BARGEN

DANNY AIELLO

DANNY GLOVER

DANNY KAYE

DAN VAN HUSEN

DAVID OYELOWO

DAVID BOWIE

DAVID CARRADINE

DAVID CARUSO

DAVID HUDDLESTON
DAVID KELLY
David Ngoombujarra


DAVID OXLEY

DEAN MARTIN

DEAN STOCKWELL
DENNIS BURKLEY

DENNIS FARINA
DENNIS HOOPER

DENNIS FRANTZ

DENNIS WEAVER

DAVID CARRADINE

DEAN JONES

DENNIS WEAVER

DENNY MILLER

DESMOND LLEWELYN

DICK MILLER
DIRK BENEDICT
DIRK BOGARDE
DOLPH LUNDGREN

DOM DELUISE

DONALD O'CONNOR

DONALD PLEASENCE

DONALD SUTHERLAND

DON GORDON
DON KEEFER

DON STROUD

EDGAR BUCHANAN


ED HARRIS


ED LAUTER

EDWARD ASNER

EDWARD.G ROBINSON

EDWARD HERRMANN

EFREM ZIMBALIST JR

E.G.MARSHALL


ELLI WALLACH

ERIC FLEMING



ERIC SYKES
ERLAND JOSEPHSON

ERNEST BORGNINE

ERNIE KOVACKS

ERROL FLYNN



FRANCESCO QUINN


FRANCHOT TONE
FRANK BRANA

FRANK FINLAY

FRANCO INTERLENGHI

FRANCO NERO


FRANK SINATRA

FRANK THORNTON
FRED ASTAIRE
GABRIELE FERZETTI

GARY BUSEY

GARY CLARKE


GARY COLLINS
GARY COOPER

GARY OLDMAN
GAVAN O'HERLIHY

GAVIN MACLEOD
GEOFFREY HUGHES
GENE BARRY

GENE HACKMAN

GENE KELLY

GENE RAYMOND

GENE WILDER
GEOFFREY LEWIS

GEOFFREY PALMER

GEORGE CLOONEY
GEORGE COLE
GEORGE HAMILTON

GEORGE KENNEDY
GEORGE MONTGOMERY
GEORGE NADER
GEORGE PEPPARD
GEORGE RAFT

GEORGE SEGAL

GERALD MCRANEY

GERT FROEBE

GIANCARLO ESPOSITO

GINO CERVI
GLENN FORD

GOTTFRIED JOHN

GOTZ GEORGE
GRANT TILLY

GREGORY PECK
GREGORY WALCOTT

GUILIANO GEMMA

GÜNTHER KAUFMANN

GUY WILLIAMS

HARDY KRUGER

HAROLD GOULD

HARRISON FORD

HARRY CAREY JR

HARRY FOWLER

HARRY MORGAN
HEAVY D

HEINZ BENNENT

HELMUT GRIEM

HENRY BRANDON
HENRY FONDA

HENRY SILVA


HERBERT LOM

HIROYUKI NAGATO

HORST BUCHHOLZ

HOWARD KEEL

HUGH O'BRIAN

HUMPHREY BOGART
IAN ABERCROMBIE
IAN HOLM



IAN MCKELLEN

IVO GARRANI

JACK ELAM

JACK HAWKINS

JACK KLUGMAN

JACK LORD

JACK NICHOLSON

JACK PALANCE

JAMES ARNESS


JAMES CAGNEY
JAMES COBURN

JAMES DEAN

JAMES DRURY
JAMES EARL JONES

JAMES FARENTINO


JAMES FOX

JAMES GANDOLFINI


JAMES GARNER

JAMES LUISI


JAMES MacARTHUR

JAMES MASON

JAMES REBHORN

JAMES SHIGETA

JAMES STACY


JAMES STEWART

JASON ROBARDS

JAY ROBINSON

JEFF BRIDGES

JEFF CHANDLER
JEROEN KRABBE


JERRY LEWIS

JIM KELLY


JOE DON BAKER

JOEL McCREA

JOE SANTOS
JOHN AGAR


JOHN ASTIN
JOHN CARSON


JOHN DAVIS CHANDLER
JOHN FORSYTHE
JOHN GAVIN

JOHN GOODMAN

JOHN HILLERMAN


JOHN IRELAND


JOHN LARCH

JOHN MALKOVICH

JOHN NEVILLE
JOHN NETTLES

JOHN SAXON
JOHNNY SEVEN

JOHN WAYNE

JOHNNY SHIEFFIELD


JOHNNY WEISSMULLER


JOHNNY SEVEN
JOE MONTEGNA
JONATHAN BANKS
JOSE FERRER
JOSEPH CAMPANELLA


JOSEPH COTTEN

JUAN LUIS GALIARDO


KARL MALDEN

KARLHEINZ BOHM

KEANU REEVES


KEVIN BACON

KEVIN COSTNER

KEVIN MCCARTHY

KIRK DOUGLAS

KLAUS KINSKY

KRIS KRISTOFFERSON


KURT RUSSELL

LANCE LEGAULT


LARRY HAGMAN

LAUREL ET HARDY

LEE J COBB

LEE MARVIN

LEE MAJORS

LEE VAN CLEEF

LEONARDO DI CAPRIO
LEONARD STONE
LIONEL JEFFRIES


LIONEL STANDER

LEO GORDON

LEONARD NIMOY

L.Q.JONES

LESLIE NIELSEN
LIAM NEESON

LLYOD BRIDGES

LLYOD BOCHNER


LUKE ASKEW

LUKE PERRY

MALACHI THRONE


MARCELLO MASTROIANNI

MARLON BRANDO

MARSHALL TEAGUE
MARTIN LANDAU


MARTIN MILNER

MARTIN SHEEN

MATT DAMON

MATTHEW BRODERICK
MAURY CHAYKIN

MAX VON SYDOW

MEL FERRER

MEL GIBSON

MELVYN DOUGLAS


MICHAEL ANSARA

MICHAEL CAINE

MICHAEL CLARKE DUNCAN l

MICHAEL CONRAD

MICHAEL DOUGLAS

MICHAEL J POLLARD

MICHAEL NYQVIST
MICHAEL PATE

MICHAEL SARRAZIN

MICKEY ROONEY

MIGUEL FERRER
MIKE CONNORS
MIKE KELLIN

MONTGOMERY CLIFT
NEHEMIAH PERSOFF


NEIL MCCARTHY

NEVILLE BRAND

NICK NOLTE


NICOL WILLIAMSON


NIGEL DAVENPORT

NIGEL HAWTHORNE

NINO CASTELNUOVO

NINO MANFREDI
NORMAN LLYOD

OMAR SHARIF

ORSON WELLES

OSKAR WERNER


O.W FISCHER
PATRICK DEMPSEY

PATRICK SWAYZE

PAUL BRINEGAR

PAUL SORVINO

PEDRO ARMENDARIZ JR
PERNELL ROBERTS
PETER DINKLAGE

PETER FALK

PETER FINCH

PETER GRAVES

PETER MARK RICHMAN

PETER O'TOOLE


PETE POSTLETHWAITE

PETER USTINOV

PHILIP MADOC



PHILIP SEYMOUR HOFFMAN

PIERCE  BROSNAN


POWERS BOOTHE


RAF VALLONE
RAY MILLAND
RAYMOND BURR

RALPH WAITE

RENATO SALVATORI
RENE AUBERJONOIS

REX HARRISON

R.G.ARMSTRONG
RICARDO MONTALBAN

RICCARDO GARRONE

RICHARD ANDERSON


RICHARD BASEHART

RICHARD BENJAMIN
RICHARD BOONE

RICHARD BRADFORD
RICHARD BRIERS
RICHARD BURTONRICHARD GERE
RICHARD CRENNA
RICHARD EGAN

RICHARD GRIFFITHS

RICHARD HARRIS
RICHARD KIEL

RICHARD LIBERTINI
RICHARD LYNCH


RICHARD TODD

RICHARD WIDMARK

RICKY NELSON

RIK BATTAGLIA

RIK MAYALL

RIP TORN


R.LEE.ERMEY
ROBERT CARRADINE



ROBERT CONRAD

ROBERT CULP


ROBERT DE NIRO

ROBERT DUVALL

ROBERT EASTON

ROBERT FORSTER
ROBERT HOGAN
ROBERT J.WILKE

ROBERT LOGGIA

ROBERT MITCHUM

ROBERT REDFORD


ROBERT RYAN

ROBERT SHAW

ROBERT STACK


ROBERT TAYLOR

ROBERT VAUGHN

ROBERT WAGNER

ROBERT WALKER



ROBIN WILLIAMS

ROBSON GREEN



ROCK HUDSON

RODDY MCDOWALL

ROD STEIGER

ROD TAYLOR

ROGER ALLAM

ROGER LLYOD-PARCK
ROGER MOORE


ROGER PIERRE

ROGER REES

RONALD PICKUP

RONALD REAGAN

ROSCOE LEE BROWNE

ROY SCHEIDER

RUSSELL JOHNSON

RYAN O’NEAL

SAEED JAFFREY

SAM SARPONG

SAM SHEPARD
SEAN BEAN

SERGIO FANTONI
SESSUE HAYAKAWA
SHERMAN HEMSLEY
SIDNEY POITIER
SID MELTON
SIMON MAcCORKINDALE


SIMON WARD
SLIM PICKENS

SOON-TEK OH
SPENCER TRACY


STANLEY BAKER

STEPHEN DUNHAM

STERLING HAYDEN

STEVE COCHRAN

STEVE FORREST


STEVE IHNAT

STEVE KANALY
STEVE MCQUEEN
STEVEN HILLS


STEWART GRANGER

STUART WHITMAN
SULLIVAN STAPLETON



SYLVESTER STALLONE

TAB HUNTER

TELLY SAVALAS

TERENCE STAMP

THOMAS MITCHELL

TIM PIGOTT-SMITH


TOMAS MILIAN

TOM BERENGER
TOM BOSLEY

TOM COURTENAY

TOM CRUISE
TOM SELLECK

TONY CURTIS
TONY DANZA

TONY MUSANTE

TROY DENAHUE

TYRONE POWER

UGO TOGNAZZI

VADIM GLOWNA
VICTOR BUONO
VICTOR MCLAGLEN


VICTOR MATURE

VINCENT D'ONOFRIO

VINCENT PRICE


VIN DIESEL

VING RHAMES

VITTORIO GASSMAN
WALTER BRENNAN
WALTER GILLER


WALTER MATTHAU

WARREN BEATTY


WARREN MITCHELL

WARREN OATES
